Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255  66   1   0   1   0   0
1        255 255 255 255 255 255 255 255 251   2   2   3   0   1   1   1
2        255 255 255 255 255 255 255  36   0   2   0   0   1   0   0   0
3        255 255 255 255 255 255 255 255 153   0   0   1   1   0   1   0
4        255 255 255 255 255 255 255 255 255 219   0   0   1   1   0   0
5        255 255 255 255 255 255 255 255 137   0   2   1   2   0   0   0
6        255 255 255 255 255 255 255 169   8   5   1   0   0   0   0   0
7        255 255 255 255 255 255 255  80  20   7   6   0   0   0   0   0
8        255 255 255 255 255 255 255  80  34  30  30   1   2   1   2   0
9        255 255 255 255 255 255 255  71  31  34  31  28   7   7   5   1
10       255 255 255 255 255 255 255 118  32  32  26   6   6   8   6   1
11       255 255 255 255 255 255 255 224  40  15  15  14  15  14  15   6
12       255 255 255 255 255 255 255 231   7   7   5   5   5   7   6   0
13       255 255 255 255 255 255 255 255  66   6   7   7   6   6   6   1
14       255 255 255 255 255 255 255 255 255   4   6   5   5   6   5   0
15       255 255 255 255 255 255 255 255 255 255 255 138   4   4   6   0
16       255 255 255 255 255 255 255 255 255 255 255 255 247   5   0   0
17       255 255 255 255 255 255 255 255 255 255 255 255 254 126   0   0
18       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255   0
19       255 255 255 255 255 255 255 255 255 255 255 255 255  86   0   0
20       255 255 255 255 255 255 255 255 255 255   1   0   0   0   0   0
21       255 255 255 255 255 255 255 255   9   7   1   3   0   0   0   0
22       255 255 255 255 255 255 255 228  10   6   6   0   1   0   0   0
23       255 255 255 255 255 255 255 254  10   7  11   7   5   2   0   0
24       255 255 255 255 255 255 255 255  34   9   6   7   6   2   2   0
25       255 255 255 255 255 255 255 255 215   8   8   9   5   2   1   3
26       255 255 255 255 255 255 255 252 120  22  12  11  13   4   2   1
27       255 255 255 255 255 255 255 252  10   9  11   8   8   2   4   4
28       255 255 255 255 255 255 255 248   9   9  13   7   7   4   3   3
29       255 255 255 255 255 255 255 253  15  10   8   9   8   3   3   3
30       255 255 255 255 255 255 255 255  25  10  10   8   9   2   1   2
31       255 255 255 255 255 255 255 255 255 228  15   9   3   4   3   3
32       255 255 255 255 255 255 255 255 135  10  12   6   3   3   4   3
33       255 255 255 255 255 255 255 255 255 249   4   2   3   3   3   3
34       255 255 255 255 255 255 255 255  40  13   9   3   2   2   3   3
