Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255  61   0   0   0   0   0
1        255 255 255 255 255 255 255 255 255  30   1   3   0   1   1   1
2        255 255 255 255 255 255 242  34   4   1   2   2   1   0   2   0
3        255 255 255 255 255 255 255 255  41   4   2   3   0   1   0   0
4        255 255 255 255 255 255 255 255 255 244   2   3   2   2   2   0
5        255 255 255 255 255 255 255 255 206   1   0   1   1   0   1   1
6        255 255 255 255 255 255 254   8   2   3   0   0   0   1   0   0
7        255 255 255 255 255 255  13  10   5   1   1   2   2   2   1   1
8        255 255 255 255 255 249  13  12   9   5   0   4   1   0   0   0
9        255 255 255 255 255 247  15  10  10   3   1   2   0   0   1   1
10       255 255 255 255 255 251  24  17  14   8   3   2   2   3   2   1
11       255 255 255 255 255 255  18  14  10   5   3   2   0   0   0   0
12       255 255 255 255 255 255  59  12  13   6   2   0   0   0   1   1
13       255 255 255 255 255 255 199  11  12   5   1   3   1   3   1   1
14       255 255 255 255 255 255 255 105  14   7   3   1   0   1   0   0
15       255 255 255 255 255 255 255 255 255  38   1   1   1   2   1   1
16       255 255 255 255 255 255 255 255 255 253   1   3   1   0   0   0
17       255 255 255 255 255 255 255 255 184   0   1   1   0   0   0   0
18       255 255 255 255 255 255 255 255 255 255 255 255 237   2   1   1
19       255 255 255 255 255 255 255 255 255 255 255   2   0   0   0   0
20       255 255 255 255 255 255 255 255 255   2   1   0   0   1   1   0
21       255 255 255 255 255 255 254   6   4   3   1   2   1   0   0   0
22       255 255 255 255 255 255  97   8   7   1   3   1   0   0   0   0
23       255 255 255 255 255 255 122   8   6   2   1   1   2   1   0   0
24       255 255 255 255 255 255 182   4   5   2   0   1   1   1   1   0
25       255 255 255 255 255 255 253  12   6   2   3   0   1   0   0   0
26       255 255 255 255 255 255 153  21   6   5   2   1   0   0   1   0
27       255 255 255 255 255 255  36   8   6   3   0   0   2   1   1   0
28       255 255 255 255 255 255  34   7   8   4   0   0   4   1   0   0
29       255 255 255 255 255 255  52   8   9   7   1   0   1   0   0   0
30       255 255 255 255 255 255 120  12  14   2   3   1   0   0   0   0
31       255 255 255 255 255 255 255 236   8   2   1   1   0   0   0   0
32       255 255 255 255 255 255 255 251  66   2   2   2   0   0   0   0
33       255 255 255 255 255 255 255 255 255  44   3   0   0   2   0   0
34       255 255 255 255 255 255 255  49   3   3   0   3   0   0   0   0
35       255 255 255 255 255 255 175   5   4   5   4   1   0   0   0   0
36       255 255 255 255 255 255  77   5   5   5   8   8   3   1   0   1
37       255 255 255 255 255 255  93   6   4   3   6   2   4   2   2   0
38       255 255 255 255 255 255 145   8   4   4   4   3   3   2   2   1
39       255 255 255 255 255 255 211   7   4   3   3   3   1   3   3   3
40       255 255 255 255 255 255 200   3   4   3   3   4   3   3   2   3
41       255 255 255 255 255 255 186   4   4   3   4   5   3   3   3   4
42       255 255 255 255 255 254 138   6   4   5   3   3   2   2   4   3
43       255 255 255 255 255 255 108   5   4   4   4   4   4   4   2   3
44       255 255 255 255 255 255 132   3   3   2   3   3   4   3   2   3
45       255 255 255 255 255 255 255 255 255   6   5   5   3   2   3   2
46       255 255 255 255 255 255 255 255 255 255 255 255  60   3   3   2
47       255 255 255 255 255 255 255 255 255 255 255   4   3   3   3   1
48       255 255 255 255 255 255 255 255 255 247   7   4   2   3   3   2
49       255 255 255 255 255 255 255 254  11   5   3   3   2   3   4   4
50       255 255 255 255 255 255 248  69   4   5   3   4   2   2   3   4
51       255 255 255 255 255 255 227  11  10   3   1   4   4   4   3   2
52       255 255 255 255 255 255  23  10   9  13   5   3   4   3   3   3
53       255 255 255 255 255 255  70  11  12  13  13  10   9   4   3   2
54       255 255 255 255 255 255  82  17   9  11  10  12   8   8   6   3
55       255 255 255 255 255 255  36  10   8   9  12   9   7   8  11   4
56       255 255 255 255 255 255  55  12  11  10   9  11  11  10  10   1
57       255 255 255 255 255 255  24   9  10   9   8  10   7   9  10  11
58       255 255 255 255 255 255  21  10  12   8  11   8  11   7   9   9
59       255 255 255 255 255 255 252   9  11   8  10   9  12  10  10   9
60       255 255 255 255 255 255 255 255 255 255   9   7   8   9   9   9
61       255 255 255 255 255 255 255 255 255 255  17  11   8   8   7   7
62       255 255 255 255 255 255 255 254  13  11  10   9  11   7   6   5
63       255 255 255 255 255 255 254  10  13  10  10  10  12   8   5   4
64       255 255 255 255 255 255 230  30  11  11   7   7   8   7   5   4
65       255 255 255 255 255 255 252  62  31   8  18   9   6   8   8   6
66       255 255 255 255 255 255 255 255 154  25  30  18   9   7   6   6
67       255 255 255 255 255 255 255 255 255 253 139  15   4   6   5   8
68       255 255 255 255 255 255 255 255 248  65  12   9   5   4   4   7
69       255 255 255 255 255 255 237 187  11   8   9   8   6   6   5   5
70       255 255 255 255 255 255 180   9   9   6   8   7   5   0   0   0
71       255 255 255 255 255 255  23   6   9   4   6   3   0   0   1   0
72       255 255 255 255 255 255  36   7   8   5   3   4   4   4   0   0
73       255 255 255 255 255 255 255  79   7   6   3   0   1   2   0   0
74       255 255 255 255 255 255 255 255 255 255 255 255   1   1   0   0
75       255 255 255 255 255 255 255 255 255 255 255 254   1   0   0   0
76       255 255 255 255 255 255 255 255 255 249   2   3   3   1   0   0
77       255 255 255 255 255 255 255  23   3   3   2   1   1   1   0   0
78       255 255 255 255 255 255 241   4   2   1   0   1   1   0   0   0
79       255 255 255 255 255 255 252   5   2   1   1   1   0   0   0   0
80       255 255 255 255 255 255 251   1   0   3   1   1   4   3   1   0
81       255 255 255 255 255 255 132   1   1   4   4   1   4   1   1   1
82       255 255 255 255 255 255  53   3   3   3   1   3   1   1   0   0
83       255 255 255 255 255 255  15   0   0   1   0   0   0   0   0   0
84       255 255 255 255 255 254   1   0   0   0   0   0   0   0   0   0
85       255 255 255 255 255 254   5   0   0   0   0   0   0   0   0   0
86       255 255 255 255 255 255   5   0   0   0   0   0   0   0   0   0
87       255 255 255 255 255 255  89   0   0   0   0   0   0   0   0   0
88       255 255 255 255 255 255 255 255 255 255   0   0   0   0   0   0
89       255 255 255 255 255 255 255 255 255 255 255   0   0   0   0   0
90       255 255 255 255 255 255 255 255 254   0   0   0   0   0   0   0
91       255 255 255 255 255 255 255   1   0   0   0   0   0   0   0   0
92       255 255 255 255 255 255  79   1   0   0   0   0   0   0   0   0
93       255 255 255 255 255 255  65   1   0   0   0   0   0   0   0   0
94       255 255 255 255 255 254  19   0   0   0   0   0   0   0   0   0
95       255 255 255 255 255 255 102   0   0   0   0   0   0   0   0   0
96       255 255 255 255 255 255 246   0   0   0   0   0   0   0   0   0
97       255 255 255 255 255 255 254   7   0   0   0   0   0   0   0   0
98       255 255 255 255 255 255 241   2   0   0   0   0   0   0   0   0
99       255 255 255 255 255 255 194   2   0   0   0   0   0   0   0   0
100      255 255 255 255 255 255 189   1   0   0   0   0   0   0   0   0
101      255 255 255 255 255 255 247   2   0   0   0   0   0   0   0   0
102      255 255 255 255 255 255 255 255 255 255 255 149   0   0   0   0
103      255 255 255 255 255 255 255 255 255 255 255 255 189   0   0   0
104      255 255 255 255 255 255 255 255 255 255 200   0   0   0   0   0
105      255 255 255 255 255 255 255 255  12   0   0   0   0   0   0   0
106      255 255 255 255 255 255 255   0   0   0   0   0   0   0   0   0
107      255 255 255 255 255 255 141   0   0   0   0   0   0   0   0   0
108      255 255 255 255 255 255  42   0   0   0   0   0   0   0   0   0
109      255 255 255 255 255 255 190   0   0   0   0   0   0   0   0   0
110      255 255 255 255 255 255 255   9   0   0   0   0   0   0   0   0
111      255 255 255 255 255 255 255 255 230   0   0   0   0   0   0   0
112      255 255 255 255 255 255 255 255 251   0   0   0   0   0   0   0
113      255 255 255 255 255 255 255   0   0   0   0   0   0   0   0   0
114      255 255 255 255 255 255  19   0   0   0   0   0   0   0   0   0
115      255 255 255 255 255 255 117   0   0   0   0   0   0   0   0   0
116      255 255 255 255 255 255 255 255 255 255   0   0   0   0   0   0
117      255 255 255 255 255 255 255 255 255 255 255  83   0   0   0   0
118      255 255 255 255 255 255 255 255 255 255   0   0   0   0   0   0
119      255 255 255 255 255 255 255 255   0   0   0   0   0   0   0   0
120      255 255 255 255 255 255 247   0   0   0   0   0   0   0   0   0
121      255 255 255 255 255 255 116   0   0   0   0   0   0   0   0   0
122      255 255 255 255 255 255  21   0   0   0   0   0   0   0   0   0
123      255 255 255 255 255 255  37   0   0   0   0   0   0   0   0   0
124      255 255 255 255 255 255 176   0   0   0   0   0   0   0   0   0
125      255 255 255 255 255 255  75   0   0   0   0   0   0   0   0   0
126      255 255 255 255 255 255  39   0   0   0   0   0   0   0   0   0
127      255 255 255 255 255 255  97   0   0   0   0   0   0   0   0   0
