Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
91       255 255 255 255 255 255 255 255 255 112   0   0   0   0   0   0
92       255 255 255 255 255 255 255 255 254 106   0   0   0   0   0   0
93       255 255 255 255 255 255 255 255 255  92   1   0   0   0   0   0
94       255 255 255 255 255 255 255 255 255 235   0   0   0   0   0   0
95       255 255 255 255 255 255 255 255 255 254  36   0   0   0   0   0
96       255 255 255 255 255 255 255 255 255 254  88   0   0   0   0   0
97       255 255 255 255 255 255 255 255 255 224   0   0   0   0   0   0
98       255 255 255 255 255 255 255 255 255 244   8   0   0   0   0   0
99       255 255 255 255 255 255 255 255 255 230   7   0   0   0   0   0
100      255 255 255 255 255 255 255 255 255 255 255 255 255 253   0   0
101      255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
102      255 255 255 255 255 255 255 255 255 255 255 255 255 192   0   0
103      255 255 255 255 255 255 255 255 255 255 254   0   0   0   0   0
104      255 255 255 255 255 255 255 255 255 252  82   0   0   0   0   0
105      255 255 255 255 255 255 255 255 255 235   1   0   0   0   0   0
106      255 255 255 255 255 255 255 255 255 175   0   0   0   0   0   0
107      255 255 255 255 255 255 255 255 255  76   0   0   0   0   0   0
108      255 255 255 255 255 255 255 255 255 144   0   0   0   0   0   0
109      255 255 255 255 255 255 255 255 254  86   0   0   0   0   0   0
110      255 255 255 255 255 255 255 255 255 142   0   0   0   0   0   0
111      255 255 255 255 255 255 255 255 255 255 132   0   0   0   0   0
112      255 255 255 255 255 255 255 255 255 255 255 240   6   0   0   0
113      255 255 255 255 255 255 255 255 255 253  29   0   0   0   0   0
114      255 255 255 255 255 255 255 255 255 255  10   0   0   0   0   0
115      255 255 255 255 255 255 255 255 255 255 255 255 255 255 255   0
116      255 255 255 255 255 255 255 255 255 255 255 163   0   0   0   0
117      255 255 255 255 255 255 255 255 255 229   0   0   0   0   0   0
118      255 255 255 255 255 255 255 255 255 210   0   0   0   0   0   0
119      255 255 255 255 255 255 255 255 255 248   4   0   0   0   0   0
120      255 255 255 255 255 255 255 255 255 255 156   0   0   0   0   0
121      255 255 255 255 255 255 255 255 255 214   0   0   0   0   0   0
122      255 255 255 255 255 255 255 255 255 205   0   0   0   0   0   0
123      255 255 255 255 255 255 255 255 255 132   0   0   0   0   0   0
124      255 255 255 255 255 255 255 255 255 138   0   0   0   0   0   0
125      255 255 255 255 255 255 255 255 255 175   0   0   0   0   0   0
126      255 255 255 255 255 255 255 255 255 227   0   0   0   0   0   0
127      255 255 255 255 255 255 255 255 255 219   0   0   0   0   0   0
