Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
91       255 255 255 255 255 255 255 143   1   0   0   0   0   0   0   0
92       255 255 255 255 255 255 254 111   1   0   0   0   0   0   0   0
93       255 255 255 255 255 255 254 124   1   0   0   0   0   0   0   0
94       255 255 255 255 255 255 255 246   5   0   0   0   0   0   0   0
95       255 255 255 255 255 255 255 254 108   0   0   0   0   0   0   0
96       255 255 255 255 255 255 255 251  39   0   0   0   0   0   0   0
97       255 255 255 255 255 255 255 253  84   0   0   0   0   0   0   0
98       255 255 255 255 255 255 255 255 174   1   0   0   0   0   0   0
99       255 255 255 255 255 255 255 255 149   0   0   0   0   0   0   0
100      255 255 255 255 255 255 255 255 255 251   0   0   0   0   0   0
101      255 255 255 255 255 255 255 255 255 255 255 255 255 255 134   0
102      255 255 255 255 255 255 255 255 255 255 255   0   0   0   0   0
103      255 255 255 255 255 255 255 255 241   0   0   0   0   0   0   0
104      255 255 255 255 255 255 255 253  54   0   0   0   0   0   0   0
105      255 255 255 255 255 255 255 248  29   0   0   0   0   0   0   0
106      255 255 255 255 255 255 255 221   0   0   0   0   0   0   0   0
107      255 255 255 255 255 255 255  72   0   0   0   0   0   0   0   0
108      255 255 255 255 255 255 255 144   0   0   0   0   0   0   0   0
109      255 255 255 255 255 255 254  99   0   0   0   0   0   0   0   0
110      255 255 255 255 255 255 255 239   1   0   0   0   0   0   0   0
111      255 255 255 255 255 255 255 255 255 198   0   0   0   0   0   0
112      255 255 255 255 255 255 255 255 255 255 255 169   0   0   0   0
113      255 255 255 255 255 255 255 228   0   0   0   0   0   0   0   0
114      255 255 255 255 255 255 255 225   1   0   0   0   0   0   0   0
115      255 255 255 255 255 255 255 255 255 255 255 255 255 134   0   0
116      255 255 255 255 255 255 255 255 255 255   0   0   0   0   0   0
117      255 255 255 255 255 255 255 252   0   0   0   0   0   0   0   0
118      255 255 255 255 255 255 255 160   0   0   0   0   0   0   0   0
119      255 255 255 255 255 255 255 209   0   0   0   0   0   0   0   0
120      255 255 255 255 255 255 255 215   0   0   0   0   0   0   0   0
121      255 255 255 255 255 255 255 158   1   0   0   0   0   0   0   0
122      255 255 255 255 255 255 255 161   0   0   0   0   0   0   0   0
123      255 255 255 255 255 255 255 159   0   0   0   0   0   0   0   0
124      255 255 255 255 255 255 255 241   3   0   0   0   0   0   0   0
125      255 255 255 255 255 255 255 195   3   0   0   0   0   0   0   0
126      255 255 255 255 255 255 255 194   9   0   0   0   0   0   0   0
127      255 255 255 255 255 255 255 128   0   0   0   0   0   0   0   0
