Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
91       255 255 255 255 255 255 255 255 255 217   4   0   0   0   0   0
92       255 255 255 255 255 255 255 255 255 205   6   0   0   0   0   0
93       255 255 255 255 255 255 255 255 254 199   1   0   0   0   0   0
94       255 255 255 255 255 255 255 255 255 254  45   0   0   0   0   0
95       255 255 255 255 255 255 255 255 255 255 173   0   0   0   0   0
96       255 255 255 255 255 255 255 255 255 252  55   0   0   0   0   0
97       255 255 255 255 255 255 255 255 255 247   5   0   0   0   0   0
98       255 255 255 255 255 255 255 255 255 250  29   0   0   0   0   0
99       255 255 255 255 255 255 255 255 255 253  89   1   0   0   0   0
100      255 255 255 255 255 255 255 255 255 255 255 255 254   6   0   0
101      255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
102      255 255 255 255 255 255 255 255 255 255 255 255 255   0   0   0
103      255 255 255 255 255 255 255 255 255 255 247   0   0   0   0   0
104      255 255 255 255 255 255 255 255 255 254 115   5   0   0   0   0
105      255 255 255 255 255 255 255 255 255 246   8   0   0   0   0   0
106      255 255 255 255 255 255 255 255 255 236   2   0   0   0   0   0
107      255 255 255 255 255 255 255 255 255 171   0   0   0   0   0   0
108      255 255 255 255 255 255 255 255 255 209   0   0   0   0   0   0
109      255 255 255 255 255 255 255 255 255 170   0   0   0   0   0   0
110      255 255 255 255 255 255 255 255 255 251   1   0   0   0   0   0
111      255 255 255 255 255 255 255 255 255 255 255 241   0   0   0   0
112      255 255 255 255 255 255 255 255 255 255 255 255 255 252   0   0
113      255 255 255 255 255 255 255 255 255 248   9   0   0   0   0   0
114      255 255 255 255 255 255 255 255 255 254  88   0   0   0   0   0
115      255 255 255 255 255 255 255 255 255 255 255 255 255 255 255   0
116      255 255 255 255 255 255 255 255 255 255 255 255  26   0   0   0
117      255 255 255 255 255 255 255 255 255 253   2   0   0   0   0   0
118      255 255 255 255 255 255 255 255 255 236   0   0   0   0   0   0
119      255 255 255 255 255 255 255 255 255 253  17   0   0   0   0   0
120      255 255 255 255 255 255 255 255 255 252  52   0   0   0   0   0
121      255 255 255 255 255 255 255 255 255 244  13   6   4   0   0   0
122      255 255 255 255 255 255 255 255 255 239   0   0   0   0   0   0
123      255 255 255 255 255 255 255 255 255 220   0   0   0   0   0   0
124      255 255 255 255 255 255 255 255 255 252  18   0   0   0   0   0
125      255 255 255 255 255 255 255 255 255 241   1   0   0   0   0   0
126      255 255 255 255 255 255 255 255 255 240   1   0   0   0   0   0
127      255 255 255 255 255 255 255 255 255 211   0   0   0   0   0   0
