Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255  14   0   0   0   0   0
1        255 255 255 255 255 255 255 255 227   1   0   1   2   0   1   0
2        255 255 255 255 255 255 254   1   2   0   2   1   2   0   0   1
3        255 255 255 255 255 255 255 255 191   2   2   4   1   1   1   0
4        255 255 255 255 255 255 255 255 255 247   0   0   1   4   1   0
5        255 255 255 255 255 255 255 255 170   7   7   1   1   0   0   0
6        255 255 255 255 255 255 255 145   9   9   6   8   6   0   0   0
7        255 255 255 255 255 255 255  55  32  29  10   6   7   7   0   0
8        255 255 255 255 255 255 255  50  31  30  32  31  30   6   6   0
9        255 255 255 255 255 255 253  57  41  45  45  45  39  42  18  17
10       255 255 255 255 255 255 255  89  34  29  30  30  30  27   6   3
11       255 255 255 255 255 255 255 197  28  30  20   5   5   4   5   4
12       255 255 255 255 255 255 255 207  10   8   7   6   5   7   6   0
13       255 255 255 255 255 255 255 255  35   7   8   6   5   5   5   4
14       255 255 255 255 255 255 255 255 255   7   8   7   6   7   7   0
15       255 255 255 255 255 255 255 255 255 255 255  38   6   6   6   0
16       255 255 255 255 255 255 255 255 255 255 255 255 181   6   0   0
17       255 255 255 255 255 255 255 255 255 255 255 255 255 133   0   0
18       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255   0
19       255 255 255 255 255 255 255 255 255 255 255 255 255   2   0   0
20       255 255 255 255 255 255 255 255 255 255   2   0   1   0   0   0
21       255 255 255 255 255 255 255 255   9   5   1   0   0   0   0   0
22       255 255 255 255 255 255 255 200  11   8   7   3   0   0   0   0
23       255 255 255 255 255 255 255 250  11   7   6   7   3   1   0   0
24       255 255 255 255 255 255 255 254  12   5  10   7   6   4   2   0
25       255 255 255 255 255 255 255 255 171  12  10   9  10   2   3   1
26       255 255 255 255 255 255 255 244 109  13   8   6   6   3   3   2
27       255 255 255 255 255 255 255 244  14   8   7  10   9   2   2   3
28       255 255 255 255 255 255 255 238   6  11   9   6   8   4   3   4
29       255 255 255 255 255 255 255 246  10   7   7   6   8   4   3   1
30       255 255 255 255 255 255 255 255  13   6  10   7   5   3   3   3
31       255 255 255 255 255 255 255 255 255 176   8   6   3   2   3   3
32       255 255 255 255 255 255 255 255 243  63   7   6   3   1   3   2
33       255 255 255 255 255 255 255 255 255 134   4   5   3   3   2   3
