Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 254 251  19   0   1   0   1   0
1        255 255 255 255 255 255 255 255 249   0   1   1   0   0   2   2
2        255 255 255 255 255 254 214   3   3   2   1   2   1   1   1   0
3        255 255 255 255 255 255 255 254   3   0   0   0   0   0   1   1
4        255 255 255 255 255 255 255 255 255 241   2   2   1   1   0   0
5        255 255 255 255 255 255 255 255 109   1   1   0   2   1   0   0
6        255 255 255 255 255 255 185  10   1   0   0   0   0   1   1   0
7        255 255 255 255 255 255  12   9   0   1   1   1   1   1   1   0
8        255 255 255 255 255 237  18  14   4   2   1   0   0   1   0   0
9        255 255 255 255 255 216  13  14   4   0   0   0   0   1   1   1
10       255 255 255 255 255 242  10  10  10   1   1   1   1   1   0   0
11       255 255 255 255 255 255  12  10   7   0   0   0   1   0   0   1
12       255 255 255 255 255 254  26  12   7   0   1   1   1   1   1   1
13       255 255 255 255 255 254  85  18  14   4   1   0   0   0   0   0
14       255 255 255 255 255 255 254  19  10   6   3   0   0   1   1   1
15       255 255 255 255 255 255 255 255 255   5   3   1   1   0   0   1
16       255 255 255 255 255 255 255 255 255 252   0   0   0   0   0   0
17       255 255 255 255 255 255 255 255 153   0   2   1   1   1   1   2
18       255 255 255 255 255 255 255 255 255 255 255 255  98   0   0   0
19       255 255 255 255 255 255 255 255 255 254 254   0   0   0   0   0
20       255 255 255 255 255 255 255 255 207   0   1   1   2   2   0   0
21       255 255 255 255 255 255 231  11   6   2   1   1   1   0   0   0
22       255 255 255 255 255 255  51   9   7   3   0   0   0   0   0   0
23       255 255 255 255 255 255  69   5   4   4   1   0   1   2   0   0
24       255 255 255 255 255 255 103   9   4   5   2   2   0   1   0   1
25       255 255 255 255 255 255 244   8   4   6   1   0   1   1   2   1
26       255 255 255 255 255 255 129  15   3   1   0   4   0   1   0   1
27       255 255 255 255 255 254  13   7   3   3   2   1   3   1   0   1
28       255 255 255 255 255 254  10   7   3   4   0   2   2   0   0   1
29       255 255 255 255 255 255  19   7   5   3   1   0   0   0   0   0
30       255 255 255 255 255 255  35  10   8   7   4   0   0   0   0   0
31       255 255 255 255 255 255 255 178   4   4   2   0   0   0   0   0
32       255 255 255 255 255 255 255 244  14   5   4   2   2   1   0   0
33       255 255 255 255 255 255 255 255 255   4   2   2   0   0   0   0
34       255 255 255 255 255 255 255  23   2   3   1   0   1   1   0   0
35       255 255 255 255 255 255 115   5   4   5   0   0   0   0   0   0
36       255 255 255 255 255 255  42   4   5   4   5   3   1   0   0   0
37       255 255 255 255 255 255  49   4   2   3   4   4   3   2   0   0
38       255 255 255 255 255 254 124   4   4   3   3   3   2   3   2   0
39       255 255 255 255 255 255 163   1   3   3   3   3   3   3   1   0
40       255 255 255 255 255 255 158   3   2   3   3   2   4   2   3   2
41       255 255 255 255 255 255 125   5   3   4   3   3   3   2   3   0
42       255 255 255 255 255 254 129   4   4   3   3   2   3   4   3   2
43       255 255 255 255 255 255  43   4   4   4   5   4   4   3   3   3
44       255 255 255 255 255 255  54   3   4   3   4   2   3   3   3   2
45       255 255 255 255 255 255 255 255 255   3   3   4   3   4   3   3
46       255 255 255 255 255 255 255 255 255 255 255 255   6   3   3   3
47       255 255 255 255 255 255 255 255 255 255 254   3   4   2   3   3
48       255 255 255 255 255 255 255 255 255 125   3   4   4   3   3   2
49       255 255 255 255 255 255 255 241   5   3   6   3   3   3   3   3
50       255 255 255 255 255 255 207  12  10   7   4   3   3   3   3   3
51       255 255 255 255 255 255 152   8   8   8   7   6   3   3   3   2
52       255 255 255 255 255 254  14  10   9   9   7   5   5   2   3   3
53       255 255 255 255 255 254  21  18  18  19  18  17  11   4   3   3
54       255 255 255 255 255 255  27  16  14  17  17  17  17  16   3   1
55       255 255 255 255 255 255  14  11   9   9   7  10   9  10  10   0
56       255 255 255 255 255 255  19  10  10  11  11  12   9  11   9   0
57       255 255 255 255 255 254  11  10  10  11  10   9   8   5   5   3
58       255 255 255 255 255 255  12  10  10  11   9   5   6   6   6   2
59       255 255 255 255 255 255 254  13  11  13  10   6   6   6   6   3
60       255 255 255 255 255 255 255 255 255 255  53  38  28  28  30  28
61       255 255 255 255 255 255 255 255 255 255  10   8   9   9   8   4
62       255 255 255 255 255 255 255 229  10   9  10  12  12   8   8   3
63       255 255 255 255 255 255 251  11  11   9   9   8   6   6   6   4
64       255 255 255 255 255 255 179  21   9   6   5   5   5   5   7   9
65       255 255 255 255 255 255 248  47  13  28   6   6  10   6   8   7
66       255 255 255 255 255 255 255 253 134  28  24  11   6   7   6   2
67       255 255 255 255 255 255 255 255 255 248 109   8   6   7   6   6
68       255 255 255 255 255 255 255 248 235  23   6   5   6   6   7   7
69       255 255 255 255 255 255 232 144  10  13   8  11   8  11  10   1
70       255 255 255 255 255 255 140  11  10   8   6   5   7   6   0   0
71       255 255 255 255 255 255  15  10   7   6   6   6   5   0   0   0
72       255 255 255 255 255 255  11   9   6   5   7   7   3   1   1   0
73       255 255 255 255 255 255 255  42   8   7   2   4   1   0   2   0
74       255 255 255 255 255 255 255 255 255 254 249 246   0   1   0   0
75       255 255 255 255 255 255 255 255 255 254 249 247   0   1   1   0
76       255 255 255 255 255 255 255 255 255 249   2   2   1   2   0   0
77       255 255 255 255 255 255 255   5   1   1   0   0   0   0   0   0
