Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 255 255 255 255 252  98   0
1        255 255 255 255 255 255 255 255 255 255 254 129   0   0   0   1
2        255 255 255 255 255 255 255 255 255 255 255 255 250  24   0   1
3        255 255 255 255 255 255 255 255 255 254 255  48   1   1   0   0
4        255 255 255 255 255 255 255 255 255 252  63   0   1   2   2   1
5        255 255 255 255 255 255 255 255 255 202   5   3   4   3   3   2
6        255 255 255 255 255 255 255 255 255 200   2   1   1   0   0   0
7        255 255 255 255 255 255 255 255 255 182   7   1   0   3   0   0
8        255 255 255 255 255 255 255 255 255 190  11   1   2   1   2   1
9        255 255 255 255 255 255 255 255 255 196   9   6   0   2   1   1
10       255 255 255 255 255 255 255 255 255 231  11   5   2   2   1   2
11       255 255 255 255 255 255 255 255 255 229  13   3   2   2   1   1
12       255 255 255 255 255 255 255 255 255 252  41   2   1   1   0   1
13       255 255 255 255 255 255 255 255 255 238 134  15   0   0   1   0
14       255 255 255 255 255 255 255 255 255 255 172   2   3   1   1   2
15       255 255 255 255 255 255 255 255 255 255 255 255  93   1   0   0
16       255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 251
17       255 255 255 255 255 255 255 255 255 254 255 254 255 255   0   1
18       255 255 255 255 255 255 255 255 255 255 254   3   1   1   2   2
19       255 255 255 255 255 255 255 255 255 253  24   3   2   2   1   0
20       255 255 255 255 255 255 255 255 255 254  40   5   2   0   1   1
21       255 255 255 255 255 255 255 255 255 211 127  11   4   1   1   0
22       255 255 255 255 255 255 255 255 255 248  21   6   6   3   1   1
23       255 255 255 255 255 255 255 255 255 247  23   6   5   1   0   0
24       255 255 255 255 255 255 255 255 254 245  15   7   9   6   5   0
25       255 255 255 255 255 255 255 255 255 219 125  17   8   5   1   0
26       255 255 255 255 255 255 255 255 255 247  13  10  11   5   1   0
27       255 255 255 255 255 255 255 255 255 235  11   5   4   0   1   2
28       255 255 255 255 255 255 255 255 255 227  15  10   7   0   0   0
29       255 255 255 255 255 255 255 255 255 213  10   8   7   1   2   0
30       255 255 255 255 255 255 255 255 255 255 255 255 255 201   2   0
31       255 255 255 255 255 255 255 255 255 248  10   6   3   4   1   0
32       255 255 255 255 255 255 255 255 255 254 130   3   3   3   2   0
33       255 255 255 255 255 255 255 255 255 167   4   6   3   2   3   0
34       255 255 255 255 255 255 255 255 255 223   5   4   3   5   4   1
35       255 255 255 255 255 255 255 255 255 233  34   6   5   2   0   0
36       255 255 255 255 255 255 255 255 255 216   8   6   3   4   3   2
37       255 255 255 255 255 255 255 255 255 163  10   4   3   3   2   3
38       255 255 255 255 255 255 255 255 255 235  12   4   3   2   3   3
39       255 255 255 255 255 255 255 255 255 250  14   4   4   4   3   3
