Scanning 127 channels through 16 RSSI levels

        <lower ------------------- rssi levels ------------------- higher>
channel    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
0        255 255 255 255 255 255 255 255 255 185   1   3   0   0   1   0
1        255 255 255 255 255 255 255 255   8   1   0   0   0   0   0   1
2        255 255 255 255 255 255 114   1   1   1   2   2   0   1   1   1
3        255 255 255 255 255 255 255 141   1   2   2   3   3   1   2   1
4        255 255 255 255 255 255 255 255 254   4   1   1   1   3   1   0
5        255 255 255 255 255 255 255 252   4   3   0   0   1   0   3   0
6        255 255 255 255 255 255  74   4   2   0   0   0   0   0   0   0
7        255 255 255 255 255 248  17   6   1   0   0   1   0   0   0   0
8        255 255 255 255 255 229   9   7   2   0   2   0   1   2   2   0
9        255 255 255 255 255 205  16   8   1   0   2   2   3   1   1   1
10       255 255 255 255 255 231  14   6   3   3   2   1   1   0   0   0
11       255 255 255 255 255 250  21  11   6   2   1   0   1   0   0   0
12       255 255 255 255 255 253  32  11   4   1   1   0   1   1   0   0
13       255 255 255 255 255 255 161   9   2   0   0   0   0   1   0   0
14       255 255 255 255 255 255 253  36   1   2   1   1   1   3   0   0
15       255 255 255 255 255 255 255 255 255   5   4   1   1   1   2   0
16       255 255 255 255 255 255 255 255 255 249   2   3   3   0   0   0
17       255 255 255 255 255 255 255 254 117   3   2   2   0   0   0   0
18       255 255 255 255 255 255 255 255 255 255 255 255 148   1   0   0
19       255 255 255 255 255 255 255 255 255 253 254   1   0   0   0   0
20       255 255 255 255 255 255 255 255 198   1   0   0   0   0   0   0
21       255 255 255 255 255 255 225   0   2   2   1   1   0   0   0   0
22       255 255 255 255 255 253  49   5   5   3   1   1   1   0   0   0
23       255 255 255 255 255 255  49   8   7   1   1   1   1   1   0   0
24       255 255 255 255 255 255  78   6   5   0   1   0   1   1   1   0
25       255 255 255 255 255 255 238  10   3   0   1   3   2   0   1   0
26       255 255 255 255 255 255 139  14   3   2   0   0   0   1   0   0
27       255 255 255 255 255 255  20   7   4   0   2   1   0   0   1   0
28       255 255 255 255 255 255  16   6   5   3   2   3   1   1   0   0
29       255 255 255 255 255 255  28   8   4   0   4   1   1   0   0   0
30       255 255 255 255 255 255  40   4   4   2   2   0   0   0   0   0
31       255 255 255 255 255 255 255  61   4   1   0   0   0   0   0   0
32       255 255 255 255 255 255 253  46   4   6   2   1   0   0   0   0
33       255 255 255 255 255 255 255 255 244   3   4   3   2   0   1   0
34       255 255 255 255 255 255 255   9   4   3   4   4   0   0   0   0
35       255 255 255 255 255 255  81   4   4   4   3   2   0   0   0   0
36       255 255 255 255 255 255  30   3   5   5   3   3   3   0   0   0
